,date,date1,Borough,code,Retail,Grocery,Parks,Transit,Workplace,Residential
88,2022-10-13,44847,Harrow,E09000015,-11,12,47,-7,-22,6
89,2022-10-13,44847,Kensington and Chelsea,E09000020,-25,0,-20,-27,-39,6
90,2022-10-13,44847,Bromley,E09000006,-15,7,5,-29,-34,7
91,2022-10-13,44847,Newham,E09000025,-2,4,368,-16,-24,3
92,2022-10-13,44847,Southwark,E09000028,-24,-8,-1,-22,-27,6
93,2022-10-13,44847,Wandsworth,E09000032,-28,-14,3,-18,-36,8
94,2022-10-13,44847,Hillingdon,E09000017,-10,-3,158,-4,-29,5
95,2022-10-13,44847,Ealing,E09000009,-8,-4,11,-23,-29,5
96,2022-10-13,44847,Redbridge,E09000026,-15,-7,-9,-29,-37,5
97,2022-10-13,44847,Camden,E09000007,-27,-3,-8,-5,-37,6
98,2022-10-13,44847,Hounslow,E09000018,-12,5,12,-13,-25,4
99,2022-10-12,44846,Harrow,E09000015,-10,13,35,-6,-19,6
100,2022-10-12,44846,Enfield,E09000010,-23,-8,2,-34,-31,5
101,2022-10-12,44846,Kensington and Chelsea,E09000020,-24,0,-15,-26,-37,7
102,2022-10-12,44846,Haringey,E09000014,5,-9,-13,-18,-39,6
103,2022-10-12,44846,Bromley,E09000006,-15,5,3,-26,-34,8
104,2022-10-12,44846,Havering,E09000016,-13,-3,-1,-20,-26,5
105,2022-10-12,44846,City of London,E09000001,-40,-45,-19,-24,-30,
106,2022-10-12,44846,Richmond upon Thames,E09000027,-25,-3,7,-31,-46,8
107,2022-10-12,44846,Westminster,E09000033,-28,-5,-7,-19,-36,6
108,2022-10-12,44846,Newham,E09000025,-15,1,157,-18,-21,4
109,2022-10-12,44846,Southwark,E09000028,-25,-9,3,-24,-31,6
110,2022-10-12,44846,Hounslow,E09000018,-12,3,14,-11,-22,4
111,2022-10-12,44846,Camden,E09000007,-27,-9,-1,-7,-36,7
112,2022-10-12,44846,Ealing,E09000009,-5,-5,3,-22,-31,5
113,2022-10-12,44846,Sutton,E09000029,-15,6,17,-35,-36,7
114,2022-10-12,44846,Merton,E09000024,-25,-12,-20,-26,-32,6
115,2022-10-12,44846,Redbridge,E09000026,-19,-4,-17,-25,-38,5
116,2022-10-12,44846,Croydon,E09000008,-17,2,0,-24,-26,6
117,2022-10-12,44846,Lambeth,E09000022,-20,-10,46,-31,-32,7
118,2022-10-12,44846,Hillingdon,E09000017,-10,-9,157,-3,-29,5
119,2022-10-12,44846,Greenwich,E09000011,-19,5,-3,-9,-35,6
120,2022-10-12,44846,Kingston upon Thames,E09000021,-26,-5,,-22,-32,7
121,2022-10-12,44846,Brent,E09000005,-14,2,16,-20,-29,4
122,2022-10-12,44846,Hammersmith and Fulham,E09000013,-25,-11,-4,-34,-43,6
123,2022-10-12,44846,Tower Hamlets,E09000030,-16,-7,-9,-29,-36,7
124,2022-10-12,44846,Bexley,E09000004,-21,3,28,-31,-32,6
125,2022-10-12,44846,Hackney,E09000012,-24,-9,10,-33,-35,7
126,2022-10-12,44846,Waltham Forest,E09000031,-15,-3,-19,-28,-34,6
127,2022-10-12,44846,Lewisham,E09000023,-4,4,3,-23,-32,7
128,2022-10-12,44846,Barnet,E09000003,-18,-5,-3,-22,-33,7
129,2022-10-12,44846,Wandsworth,E09000032,-27,-16,3,-22,-35,8
130,2022-10-12,44846,Barking and Dagenham,E09000002,-18,6,16,-17,-30,3
131,2022-10-12,44846,Islington,E09000019,-35,-15,-11,-65,-43,8
132,2022-10-11,44845,Barking and Dagenham,E09000002,-16,0,35,-10,-34,3
133,2022-10-11,44845,Merton,E09000024,-24,-13,-10,-24,-33,7
134,2022-10-11,44845,Lewisham,E09000023,-4,2,14,-21,-33,6
135,2022-10-11,44845,City of London,E09000001,-41,-47,-26,-26,-25,
136,2022-10-11,44845,Hackney,E09000012,-28,-11,8,-35,-36,5
137,2022-10-11,44845,Ealing,E09000009,-12,4,20,-20,-29,5
138,2022-10-11,44845,Kensington and Chelsea,E09000020,-24,2,-15,-29,-37,6
139,2022-10-11,44845,Brent,E09000005,-13,1,40,-20,-28,4
140,2022-10-11,44845,Bromley,E09000006,-13,10,6,-27,-34,7
141,2022-10-11,44845,Sutton,E09000029,-16,3,24,-35,-37,7
142,2022-10-11,44845,Islington,E09000019,-36,-14,-1,-65,-43,7
143,2022-10-11,44845,Kingston upon Thames,E09000021,-24,-6,,-21,-32,6
144,2022-10-11,44845,Greenwich,E09000011,-3,4,15,-5,-37,6
145,2022-10-11,44845,Harrow,E09000015,-6,14,62,-5,-19,6
146,2022-10-11,44845,Southwark,E09000028,-24,-9,6,-23,-30,6
147,2022-10-11,44845,Newham,E09000025,-9,3,174,-18,-24,3
148,2022-10-11,44845,Enfield,E09000010,-19,-10,18,-34,-32,4
149,2022-10-11,44845,Barnet,E09000003,-21,-8,16,-23,-36,5
150,2022-10-11,44845,Hillingdon,E09000017,-9,-2,146,-2,-27,5
151,2022-10-11,44845,Hammersmith and Fulham,E09000013,-28,-12,0,-33,-42,6
152,2022-10-11,44845,Havering,E09000016,-14,2,8,-18,-26,5
153,2022-10-11,44845,Lambeth,E09000022,-19,-9,66,-28,-30,7
154,2022-10-11,44845,Tower Hamlets,E09000030,-16,-3,8,-30,-37,6
155,2022-10-11,44845,Richmond upon Thames,E09000027,-25,0,13,-30,-47,8
156,2022-10-11,44845,Croydon,E09000008,-15,7,15,-25,-28,6
157,2022-10-11,44845,Camden,E09000007,-25,-5,13,-7,-37,6
158,2022-10-11,44845,Wandsworth,E09000032,-27,-18,12,-20,-35,8
159,2022-10-11,44845,Haringey,E09000014,-23,-11,3,-27,-42,5
160,2022-10-11,44845,Bexley,E09000004,-22,3,38,-32,-30,6
161,2022-10-11,44845,Westminster,E09000033,-28,-6,-5,-18,-35,5
162,2022-10-11,44845,Redbridge,E09000026,-14,-1,-5,-23,-39,5
163,2022-10-11,44845,Waltham Forest,E09000031,-16,-4,-8,-28,-37,6
164,2022-10-11,44845,Hounslow,E09000018,-9,4,27,-11,-26,4
165,2022-10-10,44844,Harrow,E09000015,-5,17,68,-10,-24,7
166,2022-10-10,44844,Lambeth,E09000022,-24,-11,69,-34,-38,9
167,2022-10-10,44844,Camden,E09000007,-28,-13,23,-9,-44,9
168,2022-10-10,44844,Sutton,E09000029,-18,4,33,-38,-39,7
169,2022-10-10,44844,Barking and Dagenham,E09000002,-17,3,48,-17,-34,4
170,2022-10-10,44844,Hounslow,E09000018,-5,7,24,-12,-28,5
171,2022-10-10,44844,Tower Hamlets,E09000030,-19,-7,13,-28,-43,9
172,2022-10-10,44844,Wandsworth,E09000032,-28,-16,15,-26,-42,10
173,2022-10-10,44844,Waltham Forest,E09000031,-15,-3,-10,-31,-39,7
174,2022-10-10,44844,Havering,E09000016,-14,2,5,-22,-29,6
175,2022-10-10,44844,Richmond upon Thames,E09000027,-26,2,9,-32,-49,9
176,2022-10-10,44844,Croydon,E09000008,-17,3,18,-24,-28,7
177,2022-10-10,44844,Barnet,E09000003,-23,-4,8,-28,-40,9
178,2022-10-10,44844,Hammersmith and Fulham,E09000013,-30,-13,8,-34,-46,9
179,2022-10-10,44844,Redbridge,E09000026,-14,-5,-3,-28,-40,6
180,2022-10-10,44844,Hillingdon,E09000017,-9,-1,175,-7,-30,6
181,2022-10-10,44844,Ealing,E09000009,-15,5,17,-19,-32,6
182,2022-10-10,44844,Kingston upon Thames,E09000021,-18,-4,,-24,-36,9
183,2022-10-10,44844,City of London,E09000001,-50,-56,-32,-35,-34,
184,2022-10-10,44844,Hackney,E09000012,-31,-9,11,-40,-42,8
185,2022-10-10,44844,Bromley,E09000006,-18,7,5,-30,-39,9
186,2022-10-10,44844,Newham,E09000025,-11,2,178,-12,-27,5
187,2022-10-10,44844,Southwark,E09000028,-26,-7,6,-28,-34,8
188,2022-10-10,44844,Kensington and Chelsea,E09000020,-25,3,-17,-27,-39,8
189,2022-10-10,44844,Brent,E09000005,-13,4,44,-21,-30,5
190,2022-10-10,44844,Enfield,E09000010,-20,-9,17,-37,-33,5
191,2022-10-10,44844,Islington,E09000019,-40,-17,-12,-65,-49,10
192,2022-10-10,44844,Westminster,E09000033,-28,-2,0,-19,-41,8
193,2022-10-10,44844,Merton,E09000024,-24,-9,-6,-27,-35,7
194,2022-10-10,44844,Lewisham,E09000023,-4,0,11,-25,-39,8
195,2022-10-10,44844,Greenwich,E09000011,5,5,10,-4,-39,7
196,2022-10-10,44844,Haringey,E09000014,-21,-10,-5,-29,-44,7
197,2022-10-10,44844,Bexley,E09000004,-22,1,37,-31,-34,7
198,2022-10-09,44843,Hackney,E09000012,-22,-11,8,-15,-12,-1
199,2022-10-09,44843,Southwark,E09000028,-21,-3,9,-23,-3,-1
200,2022-10-09,44843,Barking and Dagenham,E09000002,-17,-6,63,-3,-18,-1
201,2022-10-09,44843,Lewisham,E09000023,-5,-4,25,-11,-13,-1
202,2022-10-09,44843,Hounslow,E09000018,-2,10,24,10,-4,-1
203,2022-10-09,44843,City of London,E09000001,-18,-54,-32,-3,,
204,2022-10-09,44843,Hammersmith and Fulham,E09000013,-31,-18,16,-31,-20,-1
205,2022-10-09,44843,Kingston upon Thames,E09000021,-17,-7,118,-5,-2,-1
206,2022-10-09,44843,Enfield,E09000010,-24,-11,31,-19,-12,0
207,2022-10-09,44843,Camden,E09000007,-18,-8,11,13,-16,-1
208,2022-10-09,44843,Harrow,E09000015,-11,7,75,15,15,-1
209,2022-10-09,44843,Greenwich,E09000011,1,4,5,8,-10,-1
210,2022-10-09,44843,Islington,E09000019,4,-11,30,-45,-13,-1
211,2022-10-09,44843,Tower Hamlets,E09000030,-13,-16,6,-14,-8,-1
212,2022-10-09,44843,Bromley,E09000006,-14,6,19,-11,2,-1
213,2022-10-09,44843,Newham,E09000025,3,-6,340,3,-1,-2
214,2022-10-09,44843,Merton,E09000024,-21,-16,-1,-14,-12,-1
215,2022-10-09,44843,Wandsworth,E09000032,-21,-15,2,-15,0,-1
216,2022-10-09,44843,Kensington and Chelsea,E09000020,-29,-1,-12,-17,-20,-1
217,2022-10-09,44843,Ealing,E09000009,-13,7,19,-7,-10,-1
218,2022-10-09,44843,Haringey,E09000014,23,-12,-7,24,-25,-1
219,2022-10-09,44843,Hillingdon,E09000017,-8,-9,159,4,-2,-1
220,2022-10-09,44843,Sutton,E09000029,-22,-2,32,-26,-10,0
221,2022-10-09,44843,Havering,E09000016,-13,1,28,0,-1,-1
222,2022-10-09,44843,Barnet,E09000003,-18,-1,16,-12,-8,0
223,2022-10-09,44843,Waltham Forest,E09000031,-12,-7,8,-16,-16,0
224,2022-10-09,44843,Lambeth,E09000022,-21,-8,69,-4,-6,-1
225,2022-10-09,44843,Brent,E09000005,-11,1,45,-12,-9,-1
226,2022-10-09,44843,Bexley,E09000004,-21,-2,51,-23,-9,0
227,2022-10-09,44843,Croydon,E09000008,-6,3,18,-11,-6,0
228,2022-10-09,44843,Redbridge,E09000026,-16,-11,6,-13,-14,-1
229,2022-10-09,44843,Westminster,E09000033,-19,0,-2,5,-17,-1
230,2022-10-09,44843,Richmond upon Thames,E09000027,-22,-7,9,-31,-19,-2
231,2022-10-08,44842,Merton,E09000024,-21,-8,0,-11,-12,-1
232,2022-10-08,44842,Barnet,E09000003,-15,6,19,-8,-10,0
233,2022-10-08,44842,Havering,E09000016,-13,2,15,-10,-2,0
234,2022-10-08,44842,Newham,E09000025,-20,-4,121,-18,-2,-1
235,2022-10-08,44842,Wandsworth,E09000032,-27,-14,9,-25,-8,0
236,2022-10-08,44842,Tower Hamlets,E09000030,-12,-3,6,-11,-11,0
237,2022-10-08,44842,Croydon,E09000008,-17,6,28,-33,-11,0
238,2022-10-08,44842,Waltham Forest,E09000031,-15,-2,-18,-21,-19,0
239,2022-10-08,44842,Haringey,E09000014,-18,-10,-6,-21,-26,0
240,2022-10-08,44842,Kensington and Chelsea,E09000020,-27,12,-5,-12,-19,0
241,2022-10-08,44842,Southwark,E09000028,-21,-6,6,-27,-5,-1
242,2022-10-08,44842,Islington,E09000019,-32,-5,15,-53,-13,0
243,2022-10-08,44842,Hackney,E09000012,-23,-6,5,-36,-17,0
244,2022-10-08,44842,Redbridge,E09000026,-15,-8,-11,-13,-13,-1
245,2022-10-08,44842,Kingston upon Thames,E09000021,-15,0,89,-22,1,0
246,2022-10-08,44842,Enfield,E09000010,-20,-8,22,-34,-15,0
247,2022-10-08,44842,Bexley,E09000004,-19,3,62,-31,-11,0
248,2022-10-08,44842,City of London,E09000001,-28,-51,-30,-27,,
249,2022-10-08,44842,Hillingdon,E09000017,-7,-5,168,9,-8,-1
250,2022-10-08,44842,Ealing,E09000009,-15,5,29,-9,-12,0
251,2022-10-08,44842,Bromley,E09000006,-12,11,12,-40,-1,1
252,2022-10-08,44842,Hammersmith and Fulham,E09000013,-24,-6,28,-28,-22,0
253,2022-10-08,44842,Richmond upon Thames,E09000027,-19,1,0,-32,-14,0
254,2022-10-08,44842,Westminster,E09000033,-27,-1,-24,-18,-19,0
255,2022-10-08,44842,Harrow,E09000015,-8,16,84,8,7,0
256,2022-10-08,44842,Hounslow,E09000018,-7,13,16,8,-3,-1
257,2022-10-08,44842,Lewisham,E09000023,0,0,9,-21,-18,0
258,2022-10-08,44842,Barking and Dagenham,E09000002,-17,1,49,-5,-19,-1
259,2022-10-08,44842,Greenwich,E09000011,-13,6,-12,4,-12,0
260,2022-10-08,44842,Camden,E09000007,-24,-8,-1,-19,-9,1
261,2022-10-08,44842,Sutton,E09000029,-17,4,35,-39,-13,0
262,2022-10-08,44842,Lambeth,E09000022,-21,-8,56,-29,-2,-1
263,2022-10-08,44842,Brent,E09000005,-11,0,46,-14,-12,0
264,2022-10-07,44841,Haringey,E09000014,-20,-10,-7,-22,-40,6
265,2022-10-07,44841,Croydon,E09000008,-21,6,1,-24,-28,6
266,2022-10-07,44841,Brent,E09000005,23,3,36,1,-30,5
267,2022-10-07,44841,Enfield,E09000010,-21,-7,1,-34,-31,5
268,2022-10-07,44841,Hounslow,E09000018,-11,3,8,-11,-26,5
269,2022-10-07,44841,Tower Hamlets,E09000030,-24,-2,-9,-28,-42,8
270,2022-10-07,44841,City of London,E09000001,-54,-59,-40,-30,-37,
271,2022-10-07,44841,Havering,E09000016,-13,4,9,-18,-30,5
272,2022-10-07,44841,Barnet,E09000003,-19,-1,7,-22,-32,7
273,2022-10-07,44841,Camden,E09000007,-33,-6,3,-7,-40,8
274,2022-10-07,44841,Waltham Forest,E09000031,-14,-5,-14,-29,-37,6
275,2022-10-07,44841,Westminster,E09000033,-37,-8,-18,-20,-40,7
276,2022-10-07,44841,Lewisham,E09000023,-3,2,-2,-21,-38,7
277,2022-10-07,44841,Barking and Dagenham,E09000002,-17,7,32,-12,-29,3
278,2022-10-07,44841,Hillingdon,E09000017,-11,-3,137,0,-29,5
279,2022-10-07,44841,Bexley,E09000004,-20,3,41,-32,-32,6
280,2022-10-07,44841,Islington,E09000019,-39,-15,-1,-63,-48,10
281,2022-10-07,44841,Richmond upon Thames,E09000027,-25,0,8,-31,-48,8
282,2022-10-07,44841,Redbridge,E09000026,-14,-7,-9,-26,-39,6
283,2022-10-07,44841,Sutton,E09000029,-16,4,19,-36,-39,7
284,2022-10-07,44841,Hammersmith and Fulham,E09000013,-29,-13,1,-35,-46,8
285,2022-10-07,44841,Ealing,E09000009,-17,2,5,-23,-31,5
286,2022-10-07,44841,Southwark,E09000028,-26,-6,-3,-21,-33,7
287,2022-10-07,44841,Bromley,E09000006,-15,10,6,-25,-39,8
288,2022-10-07,44841,Wandsworth,E09000032,-27,-12,5,-19,-40,10
289,2022-10-07,44841,Greenwich,E09000011,-20,4,-3,-5,-38,7
290,2022-10-07,44841,Harrow,E09000015,-13,13,41,-6,-25,6
291,2022-10-07,44841,Newham,E09000025,-17,1,143,-16,-24,4
292,2022-10-07,44841,Lambeth,E09000022,-25,-7,48,-30,-37,8
293,2022-10-07,44841,Merton,E09000024,-26,-7,-15,-24,-34,7
294,2022-10-07,44841,Kensington and Chelsea,E09000020,-29,-1,-20,-25,-41,8
295,2022-10-07,44841,Hackney,E09000012,-26,-3,0,-32,-38,7
296,2022-10-07,44841,Kingston upon Thames,E09000021,-22,-5,,-21,-34,8
297,2022-10-06,44840,Havering,E09000016,-11,9,13,-18,-25,5
298,2022-10-06,44840,Bromley,E09000006,-11,9,11,-29,-33,7
299,2022-10-06,44840,Barking and Dagenham,E09000002,-15,9,41,-11,-31,3
300,2022-10-06,44840,Hillingdon,E09000017,-7,0,160,-1,-29,5
301,2022-10-06,44840,Bexley,E09000004,-20,6,40,-28,-30,5
302,2022-10-06,44840,Barnet,E09000003,-16,3,19,-21,-29,6
303,2022-10-06,44840,Harrow,E09000015,-6,12,58,-8,-20,5
304,2022-10-06,44840,Richmond upon Thames,E09000027,-19,2,24,-28,-44,7
305,2022-10-06,44840,Westminster,E09000033,-30,-5,-7,-22,-35,5
306,2022-10-06,44840,Croydon,E09000008,-14,9,16,-24,-25,5
307,2022-10-06,44840,Wandsworth,E09000032,-26,-12,5,-18,-35,7
308,2022-10-06,44840,Sutton,E09000029,-15,5,22,-35,-36,6
309,2022-10-06,44840,Newham,E09000025,-19,2,156,-22,-22,3
310,2022-10-06,44840,Lambeth,E09000022,-22,-10,59,-28,-31,6
311,2022-10-06,44840,Haringey,E09000014,-17,-7,0,-22,-37,5
312,2022-10-06,44840,Redbridge,E09000026,-11,-7,0,-29,-37,5
313,2022-10-06,44840,Greenwich,E09000011,-12,9,6,-12,-37,6
314,2022-10-06,44840,Brent,E09000005,-11,4,37,-18,-28,4
315,2022-10-06,44840,Camden,E09000007,-27,-4,2,-9,-34,6
316,2022-10-06,44840,Kensington and Chelsea,E09000020,-26,3,-15,-28,-37,5
317,2022-10-06,44840,Kingston upon Thames,E09000021,-20,-2,,-16,-30,7
318,2022-10-06,44840,City of London,E09000001,-39,-44,-29,-27,-23,
319,2022-10-06,44840,Tower Hamlets,E09000030,-17,-1,7,-31,-36,6
320,2022-10-06,44840,Waltham Forest,E09000031,-13,0,0,-25,-35,5
321,2022-10-06,44840,Hounslow,E09000018,-9,7,22,-13,-24,4
322,2022-10-06,44840,Hackney,E09000012,-20,-1,6,-27,-32,5
323,2022-10-06,44840,Enfield,E09000010,-20,-4,19,-32,-31,4
324,2022-10-06,44840,Merton,E09000024,-22,-11,-20,-26,-33,6
325,2022-10-06,44840,Ealing,E09000009,-12,8,17,-20,-29,4
326,2022-10-06,44840,Southwark,E09000028,-21,-7,3,-25,-25,5
327,2022-10-06,44840,Islington,E09000019,-11,-9,-1,-56,-41,6
328,2022-10-06,44840,Lewisham,E09000023,-2,4,16,-22,-33,6
329,2022-10-06,44840,Hammersmith and Fulham,E09000013,-28,-9,4,-35,-42,6
330,2022-10-05,44839,Croydon,E09000008,-16,3,-11,-37,-32,9
331,2022-10-05,44839,Barnet,E09000003,-23,-11,-20,-28,-41,8
332,2022-10-05,44839,Ealing,E09000009,-13,3,-10,-23,-35,7
333,2022-10-05,44839,Lewisham,E09000023,-1,7,-3,-36,-42,11
334,2022-10-05,44839,Hammersmith and Fulham,E09000013,-10,-13,-8,-37,-47,9
335,2022-10-05,44839,Haringey,E09000014,-27,-10,-25,-39,-43,8
336,2022-10-05,44839,Tower Hamlets,E09000030,-29,-10,-21,-38,-41,9
337,2022-10-05,44839,Westminster,E09000033,-41,-17,-31,-43,-40,8
338,2022-10-05,44839,Havering,E09000016,-12,1,-4,-28,-31,7
339,2022-10-05,44839,Greenwich,E09000011,-17,8,-15,-9,-42,9
340,2022-10-05,44839,Merton,E09000024,-24,-12,-28,-28,-35,9
341,2022-10-05,44839,Newham,E09000025,-21,0,121,-27,-25,6
342,2022-10-05,44839,Redbridge,E09000026,-15,-4,-20,-26,-42,7
343,2022-10-05,44839,Hounslow,E09000018,-12,3,4,-15,-25,6
344,2022-10-05,44839,Enfield,E09000010,-23,-6,-4,-42,-36,7
345,2022-10-05,44839,Kensington and Chelsea,E09000020,-28,-3,-26,-28,-40,9
346,2022-10-05,44839,City of London,E09000001,-62,-60,-52,-50,-34,
347,2022-10-05,44839,Waltham Forest,E09000031,-14,-2,-28,-31,-39,8
348,2022-10-05,44839,Southwark,E09000028,-32,-11,-15,-45,-36,9
349,2022-10-05,44839,Islington,E09000019,-45,-18,-21,-71,-48,11
350,2022-10-05,44839,Bexley,E09000004,-19,6,20,-49,-40,10
351,2022-10-05,44839,Bromley,E09000006,-12,11,-1,-49,-46,13
352,2022-10-05,44839,Hillingdon,E09000017,-5,-2,125,-2,-32,6
353,2022-10-05,44839,Barking and Dagenham,E09000002,-18,6,13,-23,-34,5
354,2022-10-05,44839,Harrow,E09000015,-10,13,28,-9,-25,8
355,2022-10-05,44839,Hackney,E09000012,-33,-9,-7,-48,-41,8
356,2022-10-05,44839,Wandsworth,E09000032,-27,-14,-1,-34,-40,11
